代码,指数代码,指数名,份额
520940,HSISC,恒指港股通指数,23297000
520950,HSSC50,恒生港股通50指数,351421000
520960,HSISC,恒指港股通指数,66603443
520970,931250,中证港股通创新药指数,1351358000
520980,HSSCT,恒生港股通中国科技指数,3736387000
520990,931722,中证国新港股通央企红利指数,3689470522
530000,000016,上证50指数,954029440
530050,000016,上证50指数,123813000
530060,000001,上证综合指数,258193000
530080,000010,上证180指数,30917000
530100,950580,上证580指数,120696000
530180,000010,上证180指数,65952000
530280,000010,上证180指数,28434000
530300,000010,上证180指数,37643000
530380,000009,上证380,150705000
530530,950580,上证580指数,125460000
530580,000010,上证180指数,61149000
530680,000010,上证180指数,116891948
530800,000010,上证180指数,18201830
530880,000151,上证国有企业红利指数,46836000
560010,000852,中证1000指数,2420621726
560020,000922,中证红利指数,119562000
560030,H30356,中证800价值指数,23432000
560050,746059,MSCI中国A50互联互通人民币指数,2297434415
560060,931755,中证上海环交所碳中和指数,77090000
560070,932039,中证国新央企股东回报指数,130862253
560080,930641,中证中药指数,2623765000
560090,399975,中证全指证券公司指数,2233865000
560100,000905,中证500指数,59580333
560110,000852,中证1000指数,124903500
560120,932367,中证500自由现金流指数,599689000
560130,H30192,中证全指食品指数,72776200
560150,H30269,中证红利低波动指数,681279264
560160,H30192,中证全指食品指数,119706000
560170,932038,中证国新央企科技引领指数,265495492
560180,931463,沪深300ESG基准指数,15603000
560190,000995,中证全指公用事业指数,19834000
560210,930910,中证全指农牧渔指数,557522000
560220,932000,中证2000指数,48717000
560230,931151,中证光伏产业指数,85889000
560250,932315,中证全指红利质量指数,368833000
560260,399989,中证医疗指数,1880664675
560270,H30199,中证全指电力公用事业指数,177939000
560280,931752,中证工程机械主题指数,1854752000
560290,931892,中证有色金属矿业主题指数,255694000
560300,931235,中证电信主题指数,29803375
560310,931151,中证光伏产业指数,183122000
560320,H30192,中证全指食品指数,160332000
560330,000919,沪深300价值指数,17130000
560350,930050,中证A50指数,863532144
560360,930601,中证软件服务指数,204345000
560370,932315,中证全指红利质量指数,118584000
560380,000903,中证A100指数,144861000
560390,HSCAUPG,恒生A股电网设备指数,1180258000
